iter	Logloss
0	0.608571105
1	0.5278159809
2	0.4614004517
3	0.4068294287
4	0.3585338831
5	0.318061626
6	0.2825165343
7	0.2527982092
8	0.2242515397
9	0.2004124618
10	0.1800680947
11	0.1626449966
12	0.1471595001
13	0.1330653846
14	0.1205756307
15	0.1107024503
16	0.1012450683
17	0.09335001945
18	0.08688413262
19	0.08070728779
20	0.07538745105
21	0.07085348308
22	0.06632872283
23	0.06286605
24	0.0597530663
25	0.0564095217
26	0.05441791415
27	0.05165757239
28	0.04967278481
29	0.04759252965
30	0.04631832659
31	0.04463091433
32	0.04341858894
33	0.04185621887
34	0.04058407366
35	0.03930424869
36	0.03826263934
37	0.03722068191
38	0.03643813878
39	0.03517169386
40	0.03442740589
41	0.03371905178
42	0.03300671995
43	0.03241087973
44	0.03182605982
45	0.03128273904
46	0.0308647272
47	0.03033153415
48	0.02992549449
49	0.02976018518
50	0.02927390307
51	0.02890201688
52	0.02833512753
53	0.02785861015
54	0.02764490426
55	0.02740076244
56	0.027062352
57	0.02670994639
58	0.0265436843
59	0.02610405713
60	0.02550627619
61	0.02537460327
62	0.02522534728
63	0.02499430954
64	0.02480062932
65	0.02415471107
66	0.02385237187
67	0.02364519432
68	0.02320470899
69	0.02283789903
70	0.0225577493
71	0.02237833738
72	0.02211921066
73	0.02180688754
74	0.02161313683
75	0.02123838291
76	0.02100131422
77	0.02094818205
78	0.02080764562
79	0.02068186581
80	0.02054182783
81	0.02037988409
82	0.02020747244
83	0.02009920895
84	0.02005342036
85	0.01996780798
86	0.019839468
87	0.01968798161
88	0.01924710721
89	0.01920638189
90	0.01912207589
91	0.01899278566
92	0.01882361233
93	0.01843573809
94	0.01825321808
95	0.01812902316
96	0.01808711618
97	0.01792114899
98	0.01763860404
99	0.01748699188
100	0.01733519837
101	0.01719890773
102	0.0170674704
103	0.01694078982
104	0.01686495364
105	0.01678291023
106	0.01655771792
107	0.01644919083
108	0.01633544683
109	0.0162509577
110	0.01621077225
111	0.01616462693
112	0.01603930056
113	0.01600451738
114	0.0159213233
115	0.01585727632
116	0.01575640514
117	0.01566035256
118	0.01561419636
119	0.0155573459
120	0.0154784219
121	0.0151370123
122	0.01510604456
123	0.01489911392
124	0.01480622157
125	0.01476840034
126	0.0146970655
127	0.01465149477
128	0.01453580663
129	0.0144473578
130	0.01433888748
131	0.01428816706
132	0.01409379303
133	0.01404643118
134	0.01400542513
135	0.0139122659
136	0.01369000554
137	0.01362140983
138	0.01341669977
139	0.01328290164
140	0.01326854959
141	0.01325240955
142	0.01320665866
143	0.01301611081
144	0.01297820851
145	0.01292581975
146	0.01288271636
147	0.01284228057
148	0.01274939254
149	0.01266370326
150	0.01263621524
151	0.01256610528
152	0.01244733743
153	0.01242304832
154	0.01232134365
155	0.01229199998
156	0.01225796439
157	0.01221263625
158	0.01219588205
159	0.01217717215
160	0.01215760425
161	0.01213055566
162	0.01203465596
163	0.01202515014
164	0.01196363434
165	0.01191521265
166	0.01187330276
167	0.01181931347
168	0.01177006207
169	0.01168910451
170	0.01167790145
171	0.01166286349
172	0.0116424346
173	0.01162068777
174	0.01158015124
175	0.01150868505
176	0.01143009193
177	0.0113797377
178	0.01135217704
179	0.01133236237
180	0.0112909618
181	0.01124513559
182	0.01123420812
183	0.0112075232
184	0.01116044641
185	0.01109799594
186	0.01100921422
187	0.0110080725
188	0.0109977074
189	0.01098792799
190	0.01095268056
191	0.01093722634
192	0.01089938201
193	0.01085582882
194	0.01083103016
195	0.01078993686
196	0.01075787783
197	0.01072089784
198	0.0107008636
199	0.01069663882
200	0.01067610405
201	0.01066777669
202	0.01065767422
203	0.01061800927
204	0.0106100899
205	0.01059531204
206	0.01054969482
207	0.0105164697
208	0.010435884
209	0.01040504068
210	0.01028611667
211	0.01027880289
212	0.01022072151
213	0.01019748949
214	0.0101859387
215	0.01014378116
216	0.01013591371
217	0.01009752825
218	0.0100462462
219	0.01001233198
220	0.01000575565
221	0.009982038513
222	0.009971490055
223	0.009923898205
224	0.009908824712
225	0.009893562421
226	0.009862798676
227	0.009845116511
228	0.009835040569
229	0.009794017226
230	0.009783632979
231	0.009759891033
232	0.009744557664
233	0.009720522165
234	0.00967085436
235	0.009665835947
236	0.009653091803
237	0.009607581198
238	0.009584589228
239	0.009576168433
240	0.009544293657
241	0.009519913197
242	0.009488258883
243	0.009459822774
244	0.009404437542
245	0.009377522096
246	0.009296575263
247	0.009281591102
248	0.009259393439
249	0.009233578891
250	0.009213986844
251	0.00921398066
252	0.009192332029
253	0.009177009463
254	0.009137945175
255	0.009110843167
256	0.009105604142
257	0.00908880055
258	0.009064188376
259	0.009053991362
260	0.009046476409
261	0.009041004032
262	0.009030093476
263	0.009003813118
264	0.00898031503
265	0.008979855925
266	0.008974999711
267	0.008971533179
268	0.008956405595
269	0.008942314386
270	0.008915966153
271	0.008898205683
272	0.00887642622
273	0.008867098764
274	0.008855243102
275	0.00885521479
276	0.008844745383
277	0.008824754432
278	0.008801015243
279	0.008759225383
280	0.008737195879
281	0.008726910353
282	0.008699879348
283	0.00869272463
284	0.008673405647
285	0.008661729246
286	0.008658600599
287	0.008645184785
288	0.008624569327
289	0.00860577926
290	0.008571543917
291	0.008557630256
292	0.008529904485
293	0.008511090502
294	0.008495255411
295	0.008490764722
296	0.008472739756
297	0.008444498703
298	0.00842178382
299	0.008395553529
300	0.008376753107
301	0.008367510289
302	0.008350248113
303	0.00833112061
304	0.008323697969
305	0.008307788968
306	0.008287942559
307	0.00827258423
308	0.008255020007
309	0.008243620917
310	0.008234313205
311	0.008223252073
312	0.008211403191
313	0.008186926842
314	0.008179917336
315	0.008167875037
316	0.008163861856
317	0.008137850016
318	0.008128670529
319	0.008120914847
320	0.00811540328
321	0.008056198135
322	0.008046822697
323	0.008035304025
324	0.008009648919
325	0.007977614254
326	0.007958362848
327	0.007949486673
328	0.007925761342
329	0.007910540849
330	0.007854486182
331	0.007848159522
332	0.007836266905
333	0.007819803655
334	0.007806431055
335	0.007789141089
336	0.007775349244
337	0.007772538885
338	0.007760362402
339	0.00775339812
340	0.007741235048
341	0.00773420766
342	0.007720500082
343	0.007704679817
344	0.007702987418
345	0.007677229568
346	0.007675542533
347	0.007662981227
348	0.007652469501
349	0.007632640377
350	0.007630279288
351	0.007615898028
352	0.007588744983
353	0.007580944598
354	0.007576362193
355	0.007576366141
356	0.007566252947
357	0.007562315464
358	0.007551386282
359	0.007537686601
360	0.007531122565
361	0.007529296353
362	0.007519074306
363	0.00750183329
364	0.007496470809
365	0.007493724599
366	0.007488287091
367	0.007479570284
368	0.007475003824
369	0.007464413047
370	0.007461651713
371	0.007456482053
372	0.007446988672
373	0.007436988875
374	0.007432079315
375	0.007421507239
376	0.007412963808
377	0.007393733934
378	0.007387549803
379	0.007383424863
380	0.007378459573
381	0.007364621013
382	0.007360550091
383	0.007344615385
384	0.007332168818
385	0.007328435853
386	0.007321065813
387	0.00730402641
388	0.00729957968
389	0.00729580231
390	0.007287603393
391	0.007283931002
392	0.007267608419
393	0.007252010182
394	0.007249894813
395	0.007234277427
396	0.007230010256
397	0.00722711049
398	0.007223655656
399	0.007220308185
400	0.007213670686
401	0.007203039452
402	0.007202293128
403	0.007191485614
404	0.007186541632
405	0.00718268536
406	0.007165315896
407	0.00715124771
408	0.007134397626
409	0.007125704363
410	0.007122556865
411	0.007119534388
412	0.007116617337
413	0.007113785967
414	0.007103103548
415	0.007098652571
416	0.007093938813
417	0.007086853012
418	0.00708138749
419	0.00706617631
420	0.00706516616
421	0.007047716975
422	0.007044925913
423	0.007037121952
424	0.007024943978
425	0.007024307176
426	0.007020492554
427	0.007017736882
428	0.007008131221
429	0.006991703063
430	0.006975260228
431	0.006971831992
432	0.006968343556
433	0.006950358003
434	0.006948557496
435	0.006933708563
436	0.00693145901
437	0.006914371103
438	0.006908384524
439	0.006899349019
440	0.006896768995
441	0.006883565746
442	0.006874475144
443	0.006874443106
444	0.006872616559
445	0.00685873419
446	0.006851238906
447	0.006839769632
448	0.006815579608
449	0.006808179319
450	0.006804619655
451	0.006801936924
452	0.006800281256
453	0.006799739972
454	0.006792686693
455	0.006783676185
456	0.006783154719
457	0.00677349396
458	0.006763075553
459	0.006754482314
460	0.00674209483
461	0.006731692553
462	0.006715697572
463	0.006708745509
464	0.006706256904
465	0.006696328595
466	0.006692703962
467	0.006684483811
468	0.006684304476
469	0.006678827517
470	0.006669894531
471	0.006669601351
472	0.006661551408
473	0.006661056168
474	0.006645918712
475	0.006634789594
476	0.006632421315
477	0.006624887772
478	0.006616583727
479	0.006602236032
480	0.006587885842
481	0.006573694609
482	0.006568697095
483	0.006566026397
484	0.006566012427
485	0.006560833529
486	0.006554552354
487	0.006550785899
488	0.006548458748
489	0.00654355336
490	0.006539992169
491	0.006539799832
492	0.006535081267
493	0.006525788233
494	0.006525541134
495	0.006512977332
496	0.006503859311
497	0.006495121121
498	0.00648613818
499	0.006475957781
500	0.006468564048
501	0.006461537108
502	0.00645922929
503	0.006440120377
504	0.006435602419
505	0.006427285112
506	0.00641938664
507	0.006412641443
508	0.00639888268
509	0.006387650408
510	0.006381472014
511	0.006379231401
512	0.006370888501
513	0.006362114176
514	0.00636210613
515	0.006350148804
516	0.006343942657
517	0.006343943961
518	0.006335847303
519	0.006327840276
520	0.006327596679
521	0.006324245892
522	0.006322042532
523	0.006316277981
524	0.006313739344
525	0.006307806335
526	0.006300015897
527	0.006291385964
528	0.006284185983
529	0.006284073405
530	0.006278291866
531	0.006265654042
532	0.006263522357
533	0.006260463856
534	0.00625220973
535	0.006244913042
536	0.006242409237
537	0.006240289509
538	0.006234925762
539	0.006228077188
540	0.006224958338
541	0.006219738871
542	0.006203245446
543	0.006196261235
544	0.006190263443
545	0.006181256473
546	0.006179234423
547	0.006174467802
548	0.006167717874
549	0.006167538501
550	0.006164986901
551	0.006160397753
552	0.006147547066
553	0.00614389006
554	0.006137593091
555	0.006098253988
556	0.006098047309
557	0.006097856052
558	0.006097674109
559	0.006093142293
560	0.006091216058
561	0.006086764596
562	0.006080063432
563	0.006065533236
564	0.006054414473
565	0.006048462912
566	0.006046284027
567	0.006034580059
568	0.006034392081
569	0.006028251424
570	0.006020064615
571	0.006017766297
572	0.006017589904
573	0.006017393917
574	0.006017391756
575	0.006015520655
576	0.006010011621
577	0.005999254622
578	0.005999077968
579	0.005996800251
580	0.005996640325
581	0.005994391814
582	0.005994213149
583	0.005986672454
584	0.005981075615
585	0.005981015377
586	0.005978953354
587	0.005978776738
588	0.005974434093
589	0.00596470505
590	0.005960370302
591	0.005954556689
592	0.005947323367
593	0.005945475399
594	0.005940263979
595	0.005938071683
596	0.005935095884
597	0.005929483846
598	0.005921896026
599	0.005919339918
600	0.005909616537
601	0.005909605175
602	0.005906781629
603	0.005904836915
604	0.005902612582
605	0.005901244916
606	0.005896346681
607	0.005893881768
608	0.005888777897
609	0.005853621587
610	0.005839903504
611	0.005832454041
612	0.005816263221
613	0.005809590593
614	0.005804876238
615	0.005803095102
616	0.005772174746
617	0.005770856813
618	0.005769021623
619	0.005765085742
620	0.005763817877
621	0.005763809867
622	0.005762131326
623	0.0057609009
624	0.005759276673
625	0.005758042261
626	0.005756472722
627	0.005753294565
628	0.00574894961
629	0.005720532909
630	0.005713565052
631	0.005698494874
632	0.005692546666
633	0.005683912113
634	0.005674501508
635	0.005674500689
636	0.005672140643
637	0.005668417066
638	0.005663120002
639	0.005641442724
640	0.005641451254
641	0.005639103204
642	0.005635455027
643	0.005635442659
644	0.005626365282
645	0.005622545965
646	0.005602557734
647	0.005602178238
648	0.005593089908
649	0.005584070757
650	0.005583946034
651	0.005575414561
652	0.005569193587
653	0.005569183528
654	0.00556562487
655	0.005565604232
656	0.005564389229
657	0.005558187403
658	0.005558063388
659	0.005550026149
660	0.005531624183
661	0.005528829619
662	0.00552655369
663	0.005526432618
664	0.005518663675
665	0.005512354001
666	0.005508533977
667	0.005501503572
668	0.005497131273
669	0.005492194928
670	0.005489077345
671	0.005488728918
672	0.00548860088
673	0.005471447073
674	0.005471324176
675	0.005467647426
676	0.005467552729
677	0.005467422381
678	0.005467289686
679	0.005461364947
680	0.00545527868
681	0.005451824814
682	0.005451708175
683	0.005450241528
684	0.005446462333
685	0.005438481793
686	0.005438252799
687	0.005437468737
688	0.005437356681
689	0.005437328257
690	0.005437217653
691	0.005433493778
692	0.005427129306
693	0.005427006595
694	0.005426896736
695	0.005423375443
696	0.005413897
697	0.005410623774
698	0.00540283706
699	0.005402744412
700	0.005400217362
701	0.005394723527
702	0.005390934274
703	0.005390406661
704	0.005390119813
705	0.005381871834
706	0.005381172821
707	0.005380885191
708	0.00537732996
709	0.005373125821
710	0.00537118759
711	0.005367847383
712	0.005366800167
713	0.00536669571
714	0.005350900702
715	0.005345785506
716	0.005341610983
717	0.005335945264
718	0.005332499631
719	0.005332387127
720	0.005317561775
721	0.00531744536
722	0.005314957574
723	0.005309508294
724	0.005307340175
725	0.005304333158
726	0.005300373621
727	0.005296385735
728	0.005292486921
729	0.005292042643
730	0.005288885385
731	0.005284789838
732	0.005282663107
733	0.005278945938
734	0.005271660052
735	0.005270592496
736	0.005267761685
737	0.005260696709
738	0.00526069738
739	0.005259267986
740	0.005259251148
741	0.005252667181
742	0.005247002728
743	0.005244012363
744	0.005240228586
745	0.005233496018
746	0.005219382346
747	0.005219197944
748	0.005212962665
749	0.005209826156
750	0.00520939827
751	0.005206743628
752	0.005193486214
753	0.005189338066
754	0.005184334964
755	0.005181798637
756	0.005180412345
757	0.005177477635
758	0.005174687728
759	0.005170671418
760	0.005167180151
761	0.005160353519
762	0.005160161294
763	0.005160155781
764	0.00516015619
765	0.005156276897
766	0.005153668895
767	0.005150841735
768	0.005138475224
769	0.005134648196
770	0.005132647976
771	0.005128964148
772	0.005125487149
773	0.005125484653
774	0.005121755674
775	0.005119194798
776	0.005107521303
777	0.005106154084
778	0.005101051331
779	0.005096038692
780	0.005091243349
781	0.005091242567
782	0.005091247708
783	0.005090718567
784	0.005089399628
785	0.005086912699
786	0.005084514394
787	0.005084515028
788	0.005084432364
789	0.005084422044
790	0.005083979927
791	0.005078636035
792	0.005078630932
793	0.005073850676
794	0.005073419437
795	0.00507303603
796	0.005068389215
797	0.005064723007
798	0.005060160011
799	0.005059907995
800	0.00505486764
801	0.005043827072
802	0.005043793879
803	0.005042535476
804	0.005039341748
805	0.005028889403
806	0.005027783141
807	0.005024271086
808	0.005021289475
809	0.005019973107
810	0.005019665882
811	0.005016853996
812	0.005016845241
813	0.005016845502
814	0.005016845502
815	0.005016841553
816	0.005016839728
817	0.005016113967
818	0.005013776496
819	0.005008712597
820	0.005007488169
821	0.005007138588
822	0.005003878772
823	0.005000553615
824	0.004995756596
825	0.004980899207
826	0.004977791719
827	0.004976520091
828	0.004975311756
829	0.004974791892
830	0.004969093204
831	0.00496860683
832	0.004964716397
833	0.004964712784
834	0.004964215457
835	0.004963020198
836	0.004960180037
837	0.00495446071
838	0.004950676709
839	0.004947257899
840	0.004944093376
841	0.004944091178
842	0.004941366836
843	0.004940213859
844	0.004939286597
845	0.004935702682
846	0.004934750907
847	0.004928974546
848	0.00492818322
849	0.004923970737
850	0.004923972562
851	0.004919646941
852	0.004915718213
853	0.004912647903
854	0.004912647903
855	0.004912651666
856	0.004911530912
857	0.004910998754
858	0.004911010116
859	0.004908819534
860	0.004904832244
861	0.004900742024
862	0.004895562716
863	0.004892419539
